KEY,FREQ,REF_AREA,ADJUSTMENT,HICP_ITEM,STS_INSTIT,HICP_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT,TITLE
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2024-01,95.8,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2024-02,96.31,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2024-03,96.78,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2024-04,97.17,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2024-05,97.46,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2024-06,97.67,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2024-07,97.84,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2024-08,98.0,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2024-09,98.22,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2024-10,98.51,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2024-11,98.9,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2024-12,99.36,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2025-01,99.88,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2025-02,100.39,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2025-03,100.86,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2025-04,101.25,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2025-05,101.54,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2025-06,101.75,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2025-07,101.92,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2025-08,102.08,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2025-09,102.3,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2025-10,102.59,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2025-11,102.98,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
HICP.M.CZ.N.FOOD00.4D0.INX,M,CZ,N,FOOD00,4D0,INX,2025-12,103.45,A,Index (2025=100),HICP - Czechia - food incl. alcohol & tobacco, 2025=100
