KEY,FREQ,REF_AREA,ADJUSTMENT,HICP_ITEM,STS_INSTIT,HICP_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT,TITLE
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2024-01,101.5,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2024-02,102.3,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2024-03,102.91,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2024-04,103.2,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2024-05,103.11,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2024-06,102.7,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2024-07,102.1,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2024-08,101.5,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2024-09,101.09,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2024-10,101.0,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2024-11,101.29,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2024-12,101.9,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2025-01,102.7,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2025-02,103.5,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2025-03,104.11,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2025-04,104.4,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2025-05,104.31,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2025-06,103.9,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2025-07,103.3,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2025-08,102.7,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2025-09,102.29,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2025-10,102.2,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2025-11,102.49,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2025-12,103.1,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2026-01,103.9,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2026-02,104.7,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2026-03,105.31,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2026-04,105.6,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2026-05,105.51,A,Index (2025=100),HICP - Czechia - energy, 2025=100
HICP.M.CZ.N.NRGY00.4D0.INX,M,CZ,N,NRGY00,4D0,INX,2026-06,105.1,P,Index (2025=100),HICP - Czechia - energy, 2025=100
