KEY,FREQ,REF_AREA,ADJUSTMENT,HICP_ITEM,STS_INSTIT,HICP_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT,TITLE
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2024-01,95.1,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2024-02,95.6,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2024-03,96.07,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2024-04,96.5,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2024-05,96.87,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2024-06,97.2,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2024-07,97.5,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2024-08,97.8,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2024-09,98.13,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2024-10,98.5,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2024-11,98.93,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2024-12,99.4,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2025-01,99.9,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2025-02,100.4,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2025-03,100.87,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2025-04,101.3,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2025-05,101.67,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2025-06,102.0,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2025-07,102.3,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2025-08,102.6,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2025-09,102.93,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2025-10,103.3,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2025-11,103.73,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2025-12,104.2,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2026-01,104.7,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2026-02,105.2,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2026-03,105.67,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2026-04,106.1,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2026-05,106.47,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2026-06,106.8,A,Index (2025=100),HICP - Czechia - services, 2025=100
HICP.M.CZ.N.SERV00.4D0.INX,M,CZ,N,SERV00,4D0,INX,2026-07,107.1,P,Index (2025=100),HICP - Czechia - services, 2025=100
